9306	422	
9305	415	
9304	405	
9303	436	
9302	423	
9301	433	
9300	423	
9299	430	
9298	420	
9297	429	
9296	415	
9295	420	
9294	407	
9293	411	
9292	416	
9291	399	
9290	411	
9289	399	
9288	406	
9287	391	
9286	404	
9285	395	
9284	420	
9283	388	
9282	360	
9281	415	
9280	378	
9279	414	
9278	385	
9277	401	
9276	386	
9275	407	
9274	388	
9273	405	
9272	397	
9271	416	
9270	380	
9269	398	
9268	385	
9267	393	
9266	393	
9265	385	
9264	401	
9263	378	
9262	388	
9261	375	
9260	383	
9259	375	
9258	380	
9257	385	
9256	370	
9255	391	
9254	358	
9253	341	
9252	364	
9251	372	
9250	355	
9249	372	
9248	355	
9247	370	
9246	378	
9245	327	
9244	386	
9243	333	
9242	394	
9241	364	
9240	374	
9239	360	
9238	380	
9237	369	
9236	383	
9235	369	
9234	380	
9233	379	
9232	390	
9231	373	
9230	396	
9229	365	
9228	353	
9227	401	
9226	364	
9225	372	
9224	359	
9223	370	
9222	360	
9221	374	
9220	374	
9219	376	
9218	357	
9217	404	
9216	358	
9215	381	
9214	375	
9213	374	
9212	388	
9211	375	
9210	397	
9209	383	
9208	408	
9207	374	
9206	404	
9205	405	
9204	384	
9203	426	
9202	398	
9201	403	
9200	384	
9199	402	
9198	393	
9197	406	
9196	397	
9195	408	
9194	417	
9193	411	
9192	423	
9191	446	
9190	430	
9189	419	
9188	456	
9187	433	
9186	450	
9185	442	
9184	460	
9183	447	
9182	462	
9181	459	
9180	484	
9179	498	
9178	476	
9177	474	
9176	461	
9175	471	
9174	467	
9173	485	
9172	479	
9171	485	
9170	484	
9169	487	
9168	493	
9167	494	
9166	502	
9165	501	
9164	505	
9163	503	
9162	508	
9161	509	
9160	515	
9159	516	
9158	522	
9157	522	
9156	527	
9155	528	
9154	531	
9153	528	
9152	528	
9151	537	
9150	531	
9149	543	
9148	540	
9147	551	
9146	540	
9145	550	
9144	544	
9143	556	
9142	534	
9141	546	
9140	541	
9139	545	
9138	553	
9137	542	
9136	563	
9135	556	
9134	569	
9133	557	
9132	570	
9131	556	
9130	572	
9129	544	
9128	566	
9127	562	
9126	562	
9125	568	
9124	574	
9123	574	
9122	563	
9121	572	
9120	561	
9119	573	
9118	558	
9117	567	
9116	550	
9115	590	
9114	581	
9113	574	
9112	564	
9111	550	
9110	574	
9109	558	
9108	568	
9107	553	
9106	566	
9105	560	
9104	566	
9103	568	
9102	552	
9101	557	
9100	546	
9099	577	
9098	561	
9097	575	
9096	566	
9095	581	
9094	568	
9093	584	
9092	568	
9091	589	
9090	587	
9089	574	
9088	600	
9087	611	
9086	577	
9085	585	
9084	597	
9083	591	
9082	603	
9081	598	
9080	602	
9079	591	
9078	603	
9077	598	
9076	604	
9075	604	
9074	604	
9073	605	
9072	598	
9071	604	
9070	595	
9069	602	
9068	598	
9067	603	
9066	606	
9065	612	
9064	595	
9063	611	
9062	604	
9061	604	
